fellow,year,category,title,link
Christopher Theissen,2019,Exoplanets and Habitability,Planetary Collisions around Low-Mass Stars: Constraining the Timescale for Collisions and Testing the Origin of the Kepler Dichotomy,https://drive.google.com/file/d/1HZK1Z_Jst2jYnsMp5jCMqJ-OiqwRPqVF
Jamie Tayar,2018,Stellar Physics,"Subgiants: Models, Rotation, Convection, and Planets",https://drive.google.com/file/d/1mV753AOZd5JFaMtIPt-_qd0Ypz5jtnYl
Charlotte Mason,2018,Galaxies and the Intergalactic Medium,Revolutionizing Reionization with JWST,https://drive.google.com/file/d/1HGfO76nCuit4wATuduAX3KldSnyrRSlD
Benedikt Diemer,2018,Galaxies and the Intergalactic Medium,Mapping the true boundary of dark matter halos with the splashback radius,https://drive.google.com/file/d/1U8oSXx2H0kT4Z1kLyJlb0R7ZxQXPZDi4
Siyao Xu,2017,Physics and Cosmology,The Role of Neutral‐ion Coupling in Star Formation,https://drive.google.com/file/d/1-YpBoN9dQOMFFJwpZtTav61ybiYuRHh4
Raphaelle Haywood,2017,Exoplanets and Habitability,Breaking the Ultimate Barrier to Characterizing Other Earths,https://drive.google.com/file/d/1HuZ9owZD_sX2wMFalgeDGYZ43ZcsAMBO
Johanna Teske,2017,Exoplanets and Habitability,Characterizing the Diversity of Small Planet Compositions via Planet Densities and Host Star Abundances,https://drive.google.com/file/d/1WUxSDLP-mhOUfEnQa_xG3RN3N-sT8DV_
Brett McGuire,2017,The Milky Way and Resolved Stellar Populations,Getting Away from One-Pot Syntheses: Heterogeneity in Molecular Evolution Revealed with ALMA,https://drive.google.com/file/d/17TvwAAIp9WL5MZ8u8ktWjMNkHznUZFj-
Andrew Vanderburg,2017,Exoplanets and Habitability,The Galactic Distribution of Exoplanets,https://drive.google.com/file/d/10GZUQiF-VH2jQNaYrK8njkr81SpmuacF
Sean Johnson,2016,Galaxies and the Intergalactic Medium,Unveiling the relationship between AGN and the CGM: feeding and feedback,https://drive.google.com/file/d/14Xe8qsSMcrD-BGgVVzdwrpflZoijlAUg
Lia Corrales,2016,The Milky Way and Resolved Stellar Populations,Bringing the Galactic Center into focus with dust scattering,https://drive.google.com/file/d/10pmYYRgQKd-p8FoCZ193WKD2GJufPk2g
Kate Follette,2016,Exoplanet Formation and Protoplanetary Disks,Finding and Characterizing Forming Protoplanets with Next Generation Adaptive Optics Systems,https://drive.google.com/file/d/1AlRewpXt4CeDQD69kz_nWPmAW8128Two
Josiah Schwab,2016,Stellar Physics,The Stellar Remnants of Double White Dwarf Mergers,https://drive.google.com/file/d/11wTSo1WyZtQoxMbWyvO4UW7lOHx8JoS3
Diana Dragomir,2016,Exoplanets and Habitability,Characterizing Small Planets Around Bright Stars,https://drive.google.com/file/d/1WM4-jxqc9xHUyr5JHqRnqIIJGv3VpmiP
Tyler Robinson,2015,Exoplanets and Habitability,Bridging the Theory Gap: Developing a Novel Cloud Model for Exoplanets,https://drive.google.com/file/d/1SZXw7_ZVWqNAcVEN19sq6uxlU-zIFq0h
Peter Behroozi,2015,Galaxies and the Intergalactic Medium,Uncovering Connections between Galaxy and Dark Matter Halo Assembly Histories,https://drive.google.com/file/d/1rksTYMcfgWf-qqUNRE7h3rLaVE0jgnz-
Daniel Foreman-Mackey,2015,Exoplanets and Habitability,(unspecified title),https://drive.google.com/file/d/1bxmVmvv0a8HahzUeXKFI1hiWiaspnDyr
Brooke Simmons,2015,Galaxies and the Intergalactic Medium,Illuminating the Black Hole-Galaxy Connection,https://drive.google.com/file/d/1JAuhjgeN603J-SoVxhl5lj5spp6BSV9E
Adrian Liu,2015,Physics and Cosmology,From a Detection to Astrophysics in 21 cm Cosmology,https://drive.google.com/file/d/1Kuff9sluM2t5PHVXy6pbPGzl54gHrfXO
Matteo Brogi,2014,Exoplanets and Habitability,Pushing forward the frontiers of exoplanet characterization,https://drive.google.com/file/d/1RuFsWBhPb0Yn494Njxij70usH-u0E8Kd
James Owen,2014,Exoplanet Formation and Protoplanetary Disks,Formation and evolution of exoplanets,https://drive.google.com/file/d/1Q-tF7U8V7HbaL6Z5CRu3n5xoykcM2UDv
Ian Crossfield,2014,Exoplanets and Habitability,Spectroscopy and Cartography of Cool Extrasolar Atmospheres,https://drive.google.com/file/d/1RPu9pZUYwmldkKtIr82xwCGm4nDngRRZ
Grant Tremblay,2014,Compact Objects and Accretion,Unifying Chandra with ALMA: Star Formation amid Kinematic Black Hole Feedback,https://drive.google.com/file/d/1iEiuT5T2pJUCSbnL81C8xgxdYRa69Piq
Francois Foucart,2014,Gravitational Wave Astrophysics,Simulating compact binary mergers for multi-messenger astronomy,https://drive.google.com/file/d/1PCyva3eoYnnruvbaz3oChgW5iKK-SPxH
Krzysztof Nalewajko,2013,Compact Objects and Accretion,Understanding Gamma-Ray Flares of Blazars,https://drive.google.com/file/d/1CMafAR3aqvhk-a-gcIj-pSfccS-nfGMW
Jonathan Trump,2013,Galaxies and the Intergalactic Medium,The Physics Behind Galaxy / Black Hole Coevolution,https://drive.google.com/file/d/1jIuiZXPbVIe9tuTEZ9wbkzyNC0GIb8so
Laura Blecha,2012,Galaxies and the Intergalactic Medium,Seeking the Origins of Single and Double Active Black Holes,https://drive.google.com/file/d/13OIY99fhRZXRSEH-aTOPlaSRMaULFkdq
Julie Hlavacek-Larrondo,2012,Galaxies and the Intergalactic Medium,Unravelling AGN feedback: from isolated elliptical galaxies to massive clusters of galaxies,https://drive.google.com/file/d/1kSfXVMUDjs4P31q4S0WN9_kij1YXHxK0
Ann-Marie Madigan,2012,Stellar Physics,The dynamics of stars in disks around massive black holes,https://drive.google.com/file/d/1UGJ9MB6dhMq0nAIt7QSX-ZOVvQQFgHe0
Steven Finkelstein,2011,Galaxies and the Intergalactic Medium,Measuring the Evolution of Galaxy Physical Properties from z = 2 – 8,https://drive.google.com/file/d/1AI0TikfSTi16nCZwpYuQczCV750_DVcQ
Nathalie Degenaar,2011,Compact Objects and Accretion,Probing extremes of binary evolution using subluminous X-ray binaries,https://drive.google.com/file/d/1W2OcrJJFBUSGteu6c6ljrnuPo_L_CInL
Ken Shen,2011,Compact Objects and Accretion,Theoretical Investigations of Type Ia Supernova Progenitors,https://drive.google.com/file/d/1Jrc_Qlb_oPkkptVq-064bB8b_R5A3EsM
John Tobin,2011,Exoplanet Formation and Protoplanetary Disks,The Formation and Structure of Proto-Planetary Disks Around the Youngest Protostars,https://drive.google.com/file/d/1zLla197RkQrxE6GhrP5beiZtdLfcSc24
